Run start,last run,Starttime,Endtime,Sample,E_ph,Pre Comment,Pulse Energy,Detector Filter,Beamline filter,Post Comment,Single,Dual,Sx min,Sx max,Sx speed,Sz min,Sz max,Sz spacing,Single_x,Single_y,Single_z,Prof_Y,Prof_X2,Prof_Z1
#,#,Time,Time,#/desc,keV,desc,uJ,desc,mm Silicon,desc,Photons,Photons,pulses,pulses,pulse/sec,pulses,pulses,pulses,microns,microns,microns,microns,microns,microns
781931,,05:47:29,,1,10.4,,562,50um Zink,0.3,,,,,,,,,,,,,,,
781932,781952,09:20:14,09:29:08,15,,background,570,,0.4,,,,-9000,9000,1200,-10000,10000,80,6182,-5897,1500,3715,-1100,
781953,781959,09:30:16,09:31:57,,,,,,0.3,background avg. 40?,,,,,,,,,,,,,,
781960,781965,09:35:57,,,,,,,0.4,,,,,,3600,-3000,,,,,,,,
781966,781975,09:39:18,09:42:37,,,,,,0.5,,,,,,1200,,,,,,,,,
781976,781985,09:50:41,,22x17 empty,,empty 22x17 window,,,0.3,"background still visible, avg 7.",,,,,,,,,,,,,,
,,,,none,,,,,,Same Game as before. Its not the target holder,,,,,,,,,,,,,,
,,,,,,Stephan shielded from air scattering after target interaction,,,,no change,,,,,,,,,,,,,,
,,,,,,Tais shieded detector from upstream,,,,a little better,,,,,,,,,,,,,,
,,,,,,some lead shielding on an empty target holder,,,,,,,,,,,,,,,,,,
781987,781999,11:15:04,,1,,,530,,0.4,much better signal,,,,,,-3000,,,,,,,,
782000,782007,,11:32:22,,,,,,0.3,"for crater evaluation, avg around 37",,,,,,,,,,,,,,
782008,782017,,12:36:46,,,with 40% he,,,,avg. 38,,,,,,,,,,,,,,
782018,782022,12:38:29,12:40:10,,,with 40% He off the sample,,,,avg 5,,,,,,,,,,,,,,
,,14:54:19,,GaNCrystal 5,,,,,0.5,,,,-10600,9000,,-10700,11300,,,,,,,
,,14:58:16,14:59:12,,,,,,0.4,slight sadow visible,,,,,,-9900,,,,,,,,
,,15:02:40,,,,one line only,,,0.3,shadow sill 25pixels,,,,,,-9000,,,,,,,,
,,,,,,moved Prof_Z1 up by 600um to -9308 to compensate for the shadow.,,,,,,,,,,,,,,,,,,
782025,782065,15:31:01,,2,,actual Data GaN. ,,,0.3,Beam falls off Target at Sample x>9900 and x<-10500,,,-10600,10800,1200,-10700,11300,60,6182,-5897,1500,,,
782066,782069,,,13,,GaAs for Kossel lines,,,0.5,symmetry off by about 50pxl (3.5deg),,,,,2000,,,240,,,,,,
782070,782074,,,14,,rotated Gas for rotated Kossel lines,,,,still off by about 50 pixel sideways. Lines would need to move towards the detector downstream side.,,,,,,,,,,,,,,
,,,,,,moving kossel lines by moving Sample Thz by 1 deg. ,,,,worked. change reversed,,,,,,,,,,,,,,
,,,,,,Engineers Refocused.,,,,,,,,,,,,,,,,,,
782075,782094,23:24:31,00:19:34,Ben's GaAs (#10),,detector off-centered,,,0.3,off-centered (because detector X is out by 9mm). Looks like ~3ph/pix on detector on average. PD is saturated. In the last ~30s shadow appeared. Stopped the run at ~0:19,,,-10700,10800,1800,-10600,11300,80,-3818,-5897,1500,,,
782095,782111,12:57:47 AM,1:44:00 AM,"Ben's GaAs (#12), 45deg",,,,,0.4,"shooting off the sample on the right. Also there might be a crack on the right, see posted image in SLACK. Start to see shadow on detector image in the last few lines, might be sample holder. Stopped run before scan finishes.",,,-10700,10800,1800,-10600,11300,80,6182,-5897,1500,,,-6810
782112,782134,01:49:06,02:52:36,same as above,,Moved Prof_Z1 to -12310um to scan on another sample area,,,0.4,there might be a crack in the middle. Seem to be seeing Kossel lines ,,,-10700,10800,1800,-10600,11300,80,6182,-5897,1500,,,-12310
782135,782161,03:07:29,04:23:25,"GaN 500nm, #20",,,,,0.4,"between 3:20-3:35, Tais tried to adjust scan range but left the shutter open, so some data may be on damaged sample. Seeing shadow so stopped. Sample actually broke, so some datasets might not be useful--see Slack image.",,,-10700,10800,1200,-10600,11300,80,6182,-5897,1500,,,-8560
782162,782165,04:37:49,04:46:43,#5,,,,,0.5,last shots were on the sample holder,,,-10000,11500,6000,-5640,11300,300,6182,-5897,1500,,,-8560
782166,782166,04:49:41,04:52:16,#5,,,,,0.5,,,,-10000,11500,6000,-11000,11300,300,6182,-5897,1500,,,-8560
782167,,,,#6,,moved Prof_Z1 to avoid shadow on top part of detector,540,,0.2+0.5,not useful,,,-10700,10800,2400,-11000,11000,100,6182,-5897,1500,,,-9560
